>	10.00	44.00	70.00		157.40	-17.48	-43.23
>	10.00	48.00	70.00		-62.63	6.96	-188.16
>	10.00	52.00	70.00		-27.83	3.09	74.12
>	10.00	56.00	70.00		146.70	-16.29	-123.82
>	10.00	60.00	70.00		-116.26	12.91	-127.34
>	10.00	64.00	70.00		52.98	-5.88	75.20
>	10.00	68.00	70.00		94.70	-10.52	-186.06
>	10.00	72.00	70.00		-129.08	14.34	-47.06
>	10.00	76.00	70.00		121.74	-13.52	32.48
>	10.00	80.00	70.00		17.62	-1.96	-210.50
>	10.00	84.00	70.00		-97.09	10.78	27.61
>	10.00	88.00	70.00		156.99	-17.44	-40.69
>	10.00	40.00	74.00		-39.95	4.44	329.88
>	10.00	44.00	74.00		212.88	-23.64	257.07
>	10.00	48.00	74.00		-7.15	0.79	112.14
>	10.00	52.00	74.00		27.66	-3.07	374.42
>	10.00	56.00	74.00		202.19	-22.46	176.48
>	10.00	60.00	74.00		-60.78	6.75	172.96
>	10.00	64.00	74.00		108.46	-12.05	375.49
>	10.00	68.00	74.00		150.18	-16.68	114.24
>	10.00	72.00	74.00		-73.60	8.17	253.24
>	10.00	76.00	74.00		177.23	-19.68	332.78
>	10.00	80.00	74.00		73.11	-8.12	89.80
>	10.00	84.00	74.00		-41.60	4.62	327.91
>	10.00	88.00	74.00		212.48	-23.60	259.61
>	10.00	40.00	78.00		-243.42	27.04	103.19
>	10.00	44.00	78.00		9.42	-1.05	30.38
>	10.00	48.00	78.00		-210.61	23.39	-114.55
>	10.00	52.00	78.00		-175.81	19.53	147.73
>	10.00	56.00	78.00		-1.28	0.14	-50.21
>	10.00	60.00	78.00		-264.24	29.35	-53.72
>	10.00	64.00	78.00		-95.00	10.55	148.81
>	10.00	68.00	78.00		-53.28	5.92	-112.45
>	10.00	72.00	78.00		-277.06	30.77	26.56
>	10.00	76.00	78.00		-26.24	2.91	106.10
>	10.00	80.00	78.00		-130.36	14.48	-136.89
>	10.00	84.00	78.00		-245.07	27.22	101.22
>	10.00	88.00	78.00		9.01	-1.00	32.93
>	10.00	40.00	82.00		47.86	-5.32	189.24
>	10.00	44.00	82.00		300.70	-33.40	116.43
>	10.00	48.00	82.00		80.67	-8.96	-28.51
>	10.00	52.00	82.00		115.48	-12.83	233.77
>	10.00	56.00	82.00		290.00	-32.21	35.83
>	10.00	60.00	82.00		27.04	-3.00	32.32
>	10.00	64.00	82.00		196.28	-21.80	234.85
>	10.00	68.00	82.00		238.00	-26.43	-26.40
>	10.00	72.00	82.00		14.22	-1.58	112.60
>	10.00	76.00	82.00		265.05	-29.44	192.14
>	10.00	80.00	82.00		160.92	-17.87	-50.84
>	10.00	84.00	82.00		46.22	-5.13	187.27
>	10.00	88.00	82.00		300.29	-33.35	118.97
